#Time 	 PotE 	 kT 	 vx 	 vy 	 vz
Time = 0.4750 	 PotE = -4231.17 	 kT = 1.9754 	 vx = -0.050393 	 vy = -0.005361 	 vz = 0.002498
Time = 0.4800 	 PotE = -4222.43 	 kT = 1.9582 	 vx = -0.104020 	 vy = 0.026044 	 vz = -0.028622
Time = 0.4850 	 PotE = -4217.13 	 kT = 1.9282 	 vx = -0.077836 	 vy = 0.022054 	 vz = -0.082424
Time = 0.4900 	 PotE = -4213.11 	 kT = 1.9936 	 vx = -0.088505 	 vy = 0.009615 	 vz = 0.008182
Time = 0.4950 	 PotE = -4197.86 	 kT = 1.9962 	 vx = -0.073535 	 vy = -0.013839 	 vz = 0.014641
Time = 0.5000 	 PotE = -4195.20 	 kT = 1.9982 	 vx = -0.027629 	 vy = -0.016586 	 vz = 0.035098
Time = 0.5050 	 PotE = -4193.46 	 kT = 1.9972 	 vx = -0.022487 	 vy = 0.024416 	 vz = 0.046224
Time = 0.5100 	 PotE = -4197.76 	 kT = 1.9733 	 vx = -0.013290 	 vy = 0.017129 	 vz = 0.056224
Time = 0.5150 	 PotE = -4201.58 	 kT = 2.0831 	 vx = 0.067250 	 vy = 0.025646 	 vz = 0.067351
Time = 0.5200 	 PotE = -4197.76 	 kT = 2.0095 	 vx = 0.059701 	 vy = 0.020713 	 vz = 0.000764
Time = 0.5250 	 PotE = -4209.43 	 kT = 1.9916 	 vx = 0.057684 	 vy = 0.075105 	 vz = -0.000325
Time = 0.5300 	 PotE = -4215.47 	 kT = 1.9861 	 vx = -0.028352 	 vy = 0.072428 	 vz = -0.045237
Time = 0.5350 	 PotE = -4222.91 	 kT = 1.9889 	 vx = -0.002860 	 vy = 0.113535 	 vz = 0.049253
Time = 0.5400 	 PotE = -4224.27 	 kT = 1.9994 	 vx = 0.077076 	 vy = 0.056058 	 vz = -0.004806
Time = 0.5450 	 PotE = -4224.74 	 kT = 1.9775 	 vx = 0.051539 	 vy = 0.036012 	 vz = -0.000039
Time = 0.5500 	 PotE = -4215.62 	 kT = 1.9593 	 vx = 0.018275 	 vy = 0.060684 	 vz = 0.101037
Time = 0.5550 	 PotE = -4204.09 	 kT = 1.9978 	 vx = -0.023050 	 vy = 0.047665 	 vz = 0.055602
Time = 0.5600 	 PotE = -4192.93 	 kT = 1.9533 	 vx = -0.039280 	 vy = 0.002375 	 vz = 0.059030
Time = 0.5650 	 PotE = -4189.86 	 kT = 1.9807 	 vx = -0.010700 	 vy = 0.027233 	 vz = -0.024676
Time = 0.5700 	 PotE = -4182.25 	 kT = 1.9899 	 vx = 0.000569 	 vy = 0.020594 	 vz = -0.052860
Time = 0.5750 	 PotE = -4170.05 	 kT = 2.0230 	 vx = 0.006719 	 vy = 0.093255 	 vz = 0.022349
Time = 0.5800 	 PotE = -4160.13 	 kT = 2.0951 	 vx = 0.003374 	 vy = 0.060056 	 vz = 0.042059
